Type,Rate,Date
Born overseas,5.2977,12/1/2017
Born in Australia,4.9797,11/1/2017
Born overseas,5.1893,11/1/2017
Born in Australia,5.1718,10/1/2017
Born overseas,5.0093,10/1/2017
Born in Australia,5.1197,9/1/2017
Born overseas,5.7612,9/1/2017
Born in Australia,5.3045,8/1/2017
Born overseas,5.992,8/1/2017
Born in Australia,5.4048,7/1/2017
Born overseas,5.6861,7/1/2017
Born in Australia,5.4176,6/1/2017
Born overseas,5.5135,6/1/2017
Born in Australia,5.4514,5/1/2017
Born overseas,5.3998,5/1/2017
Born in Australia,5.5272,4/1/2017
Born overseas,5.9441,4/1/2017
Born in Australia,6.0004,3/1/2017
Born overseas,6.6981,3/1/2017
Born in Australia,6.2843,2/1/2017
Born overseas,6.4888,2/1/2017
Born in Australia,6.0346,1/1/2017
Born overseas,6.3815,1/1/2017
Born in Australia,5.4855,12/1/2016
Born overseas,5.9307,12/1/2016
Born in Australia,5.2583,11/1/2016
Born overseas,5.6269,11/1/2016
Born in Australia,5.2015,10/1/2016
Born overseas,5.6625,10/1/2016
Born in Australia,5.462,9/1/2016
Born overseas,5.6063,9/1/2016
Born in Australia,5.4869,8/1/2016
Born overseas,5.9153,8/1/2016
Born in Australia,5.6014,7/1/2016
Born overseas,5.5243,7/1/2016
Born in Australia,5.6112,6/1/2016
Born overseas,5.3757,6/1/2016
Born in Australia,5.5577,5/1/2016
Born overseas,5.7847,5/1/2016
Born in Australia,5.5738,4/1/2016
Born overseas,5.9026,4/1/2016
Born in Australia,5.9717,3/1/2016
Born overseas,6.0616,3/1/2016
Born in Australia,6.1597,2/1/2016
Born overseas,6.2033,2/1/2016
Born in Australia,6.5596,1/1/2016
Born overseas,6.3191,1/1/2016
Born in Australia,5.6266,12/1/2015
Born overseas,5.2703,12/1/2015
Born in Australia,5.4794,11/1/2015
Born overseas,5.4102,11/1/2015
Born in Australia,5.7156,10/1/2015
Born overseas,5.5704,10/1/2015
Born in Australia,5.9845,9/1/2015
Born overseas,6.0955,9/1/2015
Born in Australia,5.9682,8/1/2015
Born overseas,6.4292,8/1/2015
Born in Australia,5.8659,7/1/2015
Born overseas,6.8548,7/1/2015
Born in Australia,5.8837,6/1/2015
Born overseas,5.7509,6/1/2015
Born in Australia,5.8176,5/1/2015
Born overseas,5.878,5/1/2015
Born in Australia,6.0327,4/1/2015
Born overseas,6.3651,4/1/2015
Born in Australia,6.4858,3/1/2015
Born overseas,6.4198,3/1/2015
Born in Australia,6.7616,2/1/2015
Born overseas,6.4378,2/1/2015
Born in Australia,6.9187,1/1/2015
Born overseas,6.5333,1/1/2015
Born in Australia,5.8408,12/1/2014
Born overseas,5.9796,12/1/2014
Born in Australia,6.0183,11/1/2014
Born overseas,5.5492,11/1/2014
Born in Australia,6.1944,10/1/2014
Born overseas,5.918,10/1/2014
Born in Australia,6.1581,9/1/2014
Born overseas,5.8899,9/1/2014
Born in Australia,5.9642,8/1/2014
Born overseas,5.9618,8/1/2014
Born in Australia,6.1734,7/1/2014
Born overseas,5.7071,7/1/2014
Born in Australia,5.9435,6/1/2014
Born overseas,5.7303,6/1/2014
Born in Australia,5.8781,5/1/2014
Born overseas,5.7915,5/1/2014
Born in Australia,5.6944,4/1/2014
Born overseas,6.1218,4/1/2014
Born in Australia,6.2013,3/1/2014
Born overseas,6.3054,3/1/2014
Born in Australia,6.7793,2/1/2014
Born overseas,6.8698,2/1/2014
Born in Australia,6.3922,1/1/2014
Born overseas,6.3613,1/1/2014
Born in Australia,5.6803,12/1/2013
Born overseas,5.671,12/1/2013
Born in Australia,5.4858,11/1/2013
Born overseas,5.3045,11/1/2013
Born in Australia,5.518,10/1/2013
Born overseas,5.778,10/1/2013
Born in Australia,5.6123,9/1/2013
Born overseas,5.7992,9/1/2013
Born in Australia,5.4661,8/1/2013
Born overseas,6.1086,8/1/2013
Born in Australia,5.3388,7/1/2013
Born overseas,5.3318,7/1/2013
Born in Australia,5.5298,6/1/2013
Born overseas,5.5451,6/1/2013
Born in Australia,5.458,5/1/2013
Born overseas,5.8215,5/1/2013
Born in Australia,5.4746,4/1/2013
Born overseas,5.9726,4/1/2013
Born in Australia,5.8663,3/1/2013
Born overseas,6.2308,3/1/2013
Born in Australia,6.1625,2/1/2013
Born overseas,5.9088,2/1/2013
Born in Australia,5.6999,1/1/2013
Born overseas,6.0794,1/1/2013
Born in Australia,5.1249,12/1/2012
Born overseas,5.5486,12/1/2012
Born in Australia,4.7873,11/1/2012
Born overseas,5.2599,11/1/2012
Born in Australia,5.067,10/1/2012
Born overseas,5.4708,10/1/2012
Born in Australia,5.4892,9/1/2012
Born overseas,5.3741,9/1/2012
Born in Australia,4.9605,8/1/2012
Born overseas,5.0377,8/1/2012
Born in Australia,4.8412,7/1/2012
Born overseas,4.9876,7/1/2012
Born in Australia,5.0627,6/1/2012
Born overseas,4.8874,6/1/2012
Born in Australia,5.1805,5/1/2012
Born overseas,5.1369,5/1/2012
Born in Australia,4.8452,4/1/2012
Born overseas,5.4685,4/1/2012
Born in Australia,5.507,3/1/2012
Born overseas,5.4855,3/1/2012
Born in Australia,5.9642,2/1/2012
Born overseas,5.588,2/1/2012
Born in Australia,5.6156,1/1/2012
Born overseas,4.9924,1/1/2012
Born in Australia,5.1525,12/1/2011
Born overseas,4.7215,12/1/2011
Born in Australia,4.9436,11/1/2011
Born overseas,4.755,11/1/2011
Born in Australia,4.9261,10/1/2011
Born overseas,5.0521,10/1/2011
Born in Australia,5.1454,9/1/2011
Born overseas,5.3236,9/1/2011
Born in Australia,5.063,8/1/2011
Born overseas,5.1604,8/1/2011
Born in Australia,4.8443,7/1/2011
Born overseas,4.5921,7/1/2011
Born in Australia,4.6843,6/1/2011
Born overseas,5.0451,6/1/2011
Born in Australia,4.8945,5/1/2011
Born overseas,5.2899,5/1/2011
Born in Australia,4.9393,4/1/2011
Born overseas,5.1378,4/1/2011
Born in Australia,5.1812,3/1/2011
Born overseas,5.3522,3/1/2011
Born in Australia,5.7214,2/1/2011
Born overseas,5.3256,2/1/2011
Born in Australia,5.3904,1/1/2011
Born overseas,5.4093,1/1/2011
Born in Australia,4.7079,12/1/2010
Born overseas,4.8127,12/1/2010
Born in Australia,4.643,11/1/2010
Born overseas,5.1036,11/1/2010
Born in Australia,5.0132,10/1/2010
Born overseas,5.0838,10/1/2010
Born in Australia,4.9928,9/1/2010
Born overseas,5.1519,9/1/2010
Born in Australia,4.6992,8/1/2010
Born overseas,5.2514,8/1/2010
Born in Australia,4.9449,7/1/2010
Born overseas,4.8933,7/1/2010
Born in Australia,4.9141,6/1/2010
Born overseas,5.254,6/1/2010
Born in Australia,5.1596,5/1/2010
Born overseas,5.4154,5/1/2010
Born in Australia,5.3983,4/1/2010
Born overseas,5.9572,4/1/2010
Born in Australia,5.5878,3/1/2010
Born overseas,6.1827,3/1/2010
Born in Australia,5.8715,2/1/2010
Born overseas,6.2115,2/1/2010
Born in Australia,5.6169,1/1/2010
Born overseas,5.9462,1/1/2010
Born in Australia,5.0381,12/1/2009
Born overseas,6.1005,12/1/2009
Born in Australia,4.9218,11/1/2009
Born overseas,5.9297,11/1/2009
Born in Australia,4.9897,10/1/2009
Born overseas,6.331,10/1/2009
Born in Australia,5.2203,9/1/2009
Born overseas,6.6455,9/1/2009
Born in Australia,4.9597,8/1/2009
Born overseas,6.9336,8/1/2009
Born in Australia,4.8606,7/1/2009
Born overseas,6.3528,7/1/2009
Born in Australia,5.2895,6/1/2009
Born overseas,6.9002,6/1/2009
Born in Australia,5.3031,5/1/2009
Born overseas,7.2364,5/1/2009
Born in Australia,5.2214,4/1/2009
Born overseas,6.5121,4/1/2009
Born in Australia,5.64,3/1/2009
Born overseas,7.1323,3/1/2009
Born in Australia,5.7643,2/1/2009
Born overseas,6.5242,2/1/2009
Born in Australia,5.1924,1/1/2009
Born overseas,5.6608,1/1/2009
Born in Australia,4.1991,12/1/2008
Born overseas,5.0823,12/1/2008
Born in Australia,4.0255,11/1/2008
Born overseas,4.4945,11/1/2008
Born in Australia,4.0469,10/1/2008
Born overseas,4.1354,10/1/2008
Born in Australia,4.033,9/1/2008
Born overseas,4.9245,9/1/2008
Born in Australia,3.6828,8/1/2008
Born overseas,4.3251,8/1/2008
Born in Australia,3.6682,7/1/2008
Born overseas,4.6455,7/1/2008
Born in Australia,4.1134,6/1/2008
Born overseas,4.1667,6/1/2008
Born in Australia,4.1535,5/1/2008
Born overseas,4.6282,5/1/2008
Born in Australia,4.2101,4/1/2008
Born overseas,4.6431,4/1/2008
Born in Australia,4.2571,3/1/2008
Born overseas,4.4126,3/1/2008
Born in Australia,4.4135,2/1/2008
Born overseas,4.727,2/1/2008
Born in Australia,4.5727,1/1/2008
Born overseas,4.5389,1/1/2008
Born in Australia,4.1938,12/1/2007
Born overseas,4.2575,12/1/2007
Born in Australia,4.0564,11/1/2007
Born overseas,4.2586,11/1/2007
Born in Australia,4.1186,10/1/2007
Born overseas,4.0315,10/1/2007
Born in Australia,4.0964,9/1/2007
Born overseas,4.5345,9/1/2007
Born in Australia,3.9427,8/1/2007
Born overseas,4.6127,8/1/2007
Born in Australia,3.7059,7/1/2007
Born overseas,4.5053,7/1/2007
Born in Australia,4.0694,6/1/2007
Born overseas,4.6193,6/1/2007
Born in Australia,4.0191,5/1/2007
Born overseas,5.0146,5/1/2007
Born in Australia,4.1737,4/1/2007
Born overseas,5.2712,4/1/2007
Born in Australia,4.6454,3/1/2007
Born overseas,4.9095,3/1/2007
Born in Australia,5.0424,2/1/2007
Born overseas,5.7794,2/1/2007
Born in Australia,4.8209,1/1/2007
Born overseas,5.5227,1/1/2007
Born in Australia,4.3357,12/1/2006
Born overseas,4.8603,12/1/2006
Born in Australia,4.1227,11/1/2006
Born overseas,4.4036,11/1/2006
Born in Australia,4.0346,10/1/2006
Born overseas,4.746,10/1/2006
Born in Australia,4.4949,9/1/2006
Born overseas,5.1668,9/1/2006
Born in Australia,4.4673,8/1/2006
Born overseas,4.6379,8/1/2006
Born in Australia,4.1706,7/1/2006
Born overseas,4.6011,7/1/2006
Born in Australia,4.6383,6/1/2006
Born overseas,4.8496,6/1/2006
Born in Australia,4.837,5/1/2006
Born overseas,4.7427,5/1/2006
Born in Australia,5.0793,4/1/2006
Born overseas,4.9231,4/1/2006
Born in Australia,5.1101,3/1/2006
Born overseas,5.1679,3/1/2006
Born in Australia,5.7387,2/1/2006
Born overseas,5.7513,2/1/2006
Born in Australia,5.575,1/1/2006
Born overseas,5.948,1/1/2006
Born in Australia,4.8102,12/1/2005
Born overseas,5.4184,12/1/2005
Born in Australia,4.5356,11/1/2005
Born overseas,4.6725,11/1/2005
Born in Australia,4.6958,10/1/2005
Born overseas,4.8315,10/1/2005
Born in Australia,4.8828,9/1/2005
Born overseas,5.3906,9/1/2005
Born in Australia,4.72,8/1/2005
Born overseas,4.6296,8/1/2005
Born in Australia,4.4947,7/1/2005
Born overseas,4.7578,7/1/2005
Born in Australia,4.7,6/1/2005
Born overseas,5.2286,6/1/2005
Born in Australia,4.9723,5/1/2005
Born overseas,5.5224,5/1/2005
Born in Australia,5.0205,4/1/2005
Born overseas,5.676,4/1/2005
Born in Australia,5.4043,3/1/2005
Born overseas,5.5416,3/1/2005
Born in Australia,5.7817,2/1/2005
Born overseas,5.567,2/1/2005
Born in Australia,5.5946,1/1/2005
Born overseas,5.5266,1/1/2005
Born in Australia,5.0084,12/1/2004
Born overseas,4.8961,12/1/2004
Born in Australia,4.8297,11/1/2004
Born overseas,4.6806,11/1/2004
Born in Australia,4.7824,10/1/2004
Born overseas,4.9595,10/1/2004
Born in Australia,5.4317,9/1/2004
Born overseas,5.2725,9/1/2004
Born in Australia,5.3108,8/1/2004
Born overseas,5.2583,8/1/2004
Born in Australia,5.0459,7/1/2004
Born overseas,5.2203,7/1/2004
Born in Australia,5.4154,6/1/2004
Born overseas,5.0792,6/1/2004
Born in Australia,5.3412,5/1/2004
Born overseas,5.3474,5/1/2004
Born in Australia,5.4261,4/1/2004
Born overseas,6.0262,4/1/2004
Born in Australia,5.6406,3/1/2004
Born overseas,5.929,3/1/2004
Born in Australia,6.3449,2/1/2004
Born overseas,6.4031,2/1/2004
Born in Australia,5.9693,1/1/2004
Born overseas,6.3191,1/1/2004
Born in Australia,5.5256,12/1/2003
Born overseas,5.661,12/1/2003
Born in Australia,5.1957,11/1/2003
Born overseas,5.4547,11/1/2003
Born in Australia,5.3314,10/1/2003
Born overseas,5.799,10/1/2003
Born in Australia,5.5453,9/1/2003
Born overseas,6.5584,9/1/2003
Born in Australia,5.4715,8/1/2003
Born overseas,5.9588,8/1/2003
Born in Australia,5.4068,7/1/2003
Born overseas,6.2588,7/1/2003
Born in Australia,5.6259,6/1/2003
Born overseas,6.7204,6/1/2003
Born in Australia,5.9641,5/1/2003
Born overseas,6.3791,5/1/2003
Born in Australia,5.9382,4/1/2003
Born overseas,6.6108,4/1/2003
Born in Australia,6.3565,3/1/2003
Born overseas,6.6438,3/1/2003
Born in Australia,6.6869,2/1/2003
Born overseas,6.7458,2/1/2003
Born in Australia,6.6554,1/1/2003
Born overseas,6.6985,1/1/2003
Born in Australia,6.0375,12/1/2002
Born overseas,6.0669,12/1/2002
Born in Australia,5.6452,11/1/2002
Born overseas,6.046,11/1/2002
Born in Australia,5.653,10/1/2002
Born overseas,6.1147,10/1/2002
Born in Australia,6.2433,9/1/2002
Born overseas,6.7092,9/1/2002
Born in Australia,5.9196,8/1/2002
Born overseas,6.6825,8/1/2002
Born in Australia,5.5433,7/1/2002
Born overseas,6.0677,7/1/2002
Born in Australia,6.2087,6/1/2002
Born overseas,6.6636,6/1/2002
Born in Australia,6.3198,5/1/2002
Born overseas,6.5009,5/1/2002
Born in Australia,6.308,4/1/2002
Born overseas,6.7391,4/1/2002
Born in Australia,6.5898,3/1/2002
Born overseas,7.2141,3/1/2002
Born in Australia,7.2086,2/1/2002
Born overseas,7.7244,2/1/2002
Born in Australia,7.3356,1/1/2002
Born overseas,8.2123,1/1/2002
Born in Australia,6.5637,12/1/2001
Born overseas,7.1616,12/1/2001
Born in Australia,6.3905,11/1/2001
Born overseas,6.71,11/1/2001
Born in Australia,6.5814,10/1/2001
Born overseas,7.36,10/1/2001
Born in Australia,6.7177,9/1/2001
Born overseas,7.3172,9/1/2001
Born in Australia,6.5295,8/1/2001
Born overseas,6.9883,8/1/2001
Born in Australia,6.1936,7/1/2001
Born overseas,6.7675,7/1/2001
Born in Australia,6.5956,6/1/2001
Born overseas,7.1646,6/1/2001
Born in Australia,6.6994,5/1/2001
Born overseas,7.3912,5/1/2001
Born in Australia,6.6337,4/1/2001
Born overseas,7.5017,4/1/2001
Born in Australia,6.5779,3/1/2001
Born overseas,7.3417,3/1/2001
Born in Australia,7.1293,2/1/2001
Born overseas,7.7247,2/1/2001
Born in Australia,6.4099,1/1/2001
Born overseas,7.2481,1/1/2001
Born in Australia,6.0487,12/1/2000
Born overseas,6.3983,12/1/2000
Born in Australia,5.8416,11/1/2000
Born overseas,6.0122,11/1/2000
Born in Australia,5.6706,10/1/2000
Born overseas,5.7338,10/1/2000
Born in Australia,5.8944,9/1/2000
Born overseas,6.3182,9/1/2000
Born in Australia,5.7633,8/1/2000
Born overseas,6.2217,8/1/2000
Born in Australia,5.3397,7/1/2000
Born overseas,6.0139,7/1/2000
Born in Australia,5.9109,6/1/2000
Born overseas,6.0644,6/1/2000
Born in Australia,6.2388,5/1/2000
Born overseas,6.9326,5/1/2000
Born in Australia,6.2639,4/1/2000
Born overseas,6.996,4/1/2000
Born in Australia,6.6513,3/1/2000
Born overseas,7.5896,3/1/2000
Born in Australia,7.4055,2/1/2000
Born overseas,7.376,2/1/2000
Born in Australia,7.0995,1/1/2000
Born overseas,7.717,1/1/2000
Born in Australia,6.5012,12/1/1999
Born overseas,6.7722,12/1/1999
Born in Australia,6.0188,11/1/1999
Born overseas,6.2041,11/1/1999
Born in Australia,6.3137,10/1/1999
Born overseas,6.7298,10/1/1999
Born in Australia,6.791,9/1/1999
Born overseas,7.9593,9/1/1999
Born in Australia,6.4613,8/1/1999
Born overseas,7.5079,8/1/1999
Born in Australia,6.0222,7/1/1999
Born overseas,6.7495,7/1/1999
Born in Australia,6.232,6/1/1999
Born overseas,7.2453,6/1/1999
Born in Australia,6.6816,5/1/1999
Born overseas,8.0404,5/1/1999
Born in Australia,6.7423,4/1/1999
Born overseas,7.9273,4/1/1999
Born in Australia,7.0134,3/1/1999
Born overseas,8.3908,3/1/1999
Born in Australia,7.4943,2/1/1999
Born overseas,9.208,2/1/1999
Born in Australia,7.3917,1/1/1999
Born overseas,8.4493,1/1/1999
Born in Australia,6.8743,12/1/1998
Born overseas,7.5626,12/1/1998
Born in Australia,7.008,11/1/1998
Born overseas,7.8534,11/1/1998
Born in Australia,6.7052,10/1/1998
Born overseas,7.6037,10/1/1998
Born in Australia,7.3762,9/1/1998
Born overseas,8.4355,9/1/1998
Born in Australia,7.3439,8/1/1998
Born overseas,8.158,8/1/1998
Born in Australia,7.2321,7/1/1998
Born overseas,8.0665,7/1/1998
Born in Australia,7.2979,6/1/1998
Born overseas,8.6127,6/1/1998
Born in Australia,7.4331,5/1/1998
Born overseas,8.6695,5/1/1998
Born in Australia,7.3913,4/1/1998
Born overseas,8.3795,4/1/1998
Born in Australia,8.12,3/1/1998
Born overseas,8.5264,3/1/1998
Born in Australia,8.4318,2/1/1998
Born overseas,9.2326,2/1/1998
Born in Australia,8.1492,1/1/1998
Born overseas,9.3992,1/1/1998
Born in Australia,7.449,12/1/1997
Born overseas,8.8028,12/1/1997
Born in Australia,7.2801,11/1/1997
Born overseas,8.3614,11/1/1997
Born in Australia,7.4265,10/1/1997
Born overseas,8.1575,10/1/1997
Born in Australia,7.744,9/1/1997
Born overseas,9.0647,9/1/1997
Born in Australia,7.9375,8/1/1997
Born overseas,9.2499,8/1/1997
Born in Australia,7.7154,7/1/1997
Born overseas,8.9902,7/1/1997
Born in Australia,7.8104,6/1/1997
Born overseas,8.9632,6/1/1997
Born in Australia,8.1326,5/1/1997
Born overseas,9.6558,5/1/1997
Born in Australia,8.251,4/1/1997
Born overseas,9.6611,4/1/1997
Born in Australia,8.5194,3/1/1997
Born overseas,10.3783,3/1/1997
Born in Australia,9.3691,2/1/1997
Born overseas,10.5605,2/1/1997
Born in Australia,8.7187,1/1/1997
Born overseas,10.6209,1/1/1997
Born in Australia,8.1528,12/1/1996
Born overseas,9.7195,12/1/1996
Born in Australia,7.5927,11/1/1996
Born overseas,9.2455,11/1/1996
Born in Australia,7.869,10/1/1996
Born overseas,9.5534,10/1/1996
Born in Australia,8.1274,9/1/1996
Born overseas,9.9076,9/1/1996
Born in Australia,8.0277,8/1/1996
Born overseas,9.7587,8/1/1996
Born in Australia,7.6303,7/1/1996
Born overseas,9.2386,7/1/1996
Born in Australia,7.5151,6/1/1996
Born overseas,9.486,6/1/1996
Born in Australia,7.9658,5/1/1996
Born overseas,9.5767,5/1/1996
Born in Australia,8.2533,4/1/1996
Born overseas,9.8574,4/1/1996
Born in Australia,8.3066,3/1/1996
Born overseas,10.2569,3/1/1996
Born in Australia,8.765,2/1/1996
Born overseas,10.6535,2/1/1996
Born in Australia,8.7583,1/1/1996
Born overseas,10.1328,1/1/1996
Born in Australia,7.6812,12/1/1995
Born overseas,9.2209,12/1/1995
Born in Australia,7.5151,11/1/1995
Born overseas,9.3979,11/1/1995
Born in Australia,7.5671,10/1/1995
Born overseas,9.7292,10/1/1995
Born in Australia,7.8497,9/1/1995
Born overseas,9.8968,9/1/1995
Born in Australia,7.4044,8/1/1995
Born overseas,10.2391,8/1/1995
Born in Australia,7.3379,7/1/1995
Born overseas,9.7578,7/1/1995
Born in Australia,7.4939,6/1/1995
Born overseas,10,6/1/1995
Born in Australia,7.8892,5/1/1995
Born overseas,10.0561,5/1/1995
Born in Australia,7.8004,4/1/1995
Born overseas,9.7704,4/1/1995
Born in Australia,8.4459,3/1/1995
Born overseas,10.7218,3/1/1995
Born in Australia,9.1827,2/1/1995
Born overseas,11.6277,2/1/1995
Born in Australia,8.999,1/1/1995
Born overseas,11.1716,1/1/1995
Born in Australia,8.1612,12/1/1994
Born overseas,10.9693,12/1/1994
Born in Australia,8.0469,11/1/1994
Born overseas,10.3362,11/1/1994
Born in Australia,8.0077,10/1/1994
Born overseas,10.3372,10/1/1994
Born in Australia,8.7193,9/1/1994
Born overseas,11.1996,9/1/1994
Born in Australia,8.4357,8/1/1994
Born overseas,11.4806,8/1/1994
Born in Australia,8.4804,7/1/1994
Born overseas,11.0187,7/1/1994
Born in Australia,8.8076,6/1/1994
Born overseas,11.6684,6/1/1994
Born in Australia,8.9835,5/1/1994
Born overseas,11.8791,5/1/1994
Born in Australia,9.4504,4/1/1994
Born overseas,11.919,4/1/1994
Born in Australia,10.1822,3/1/1994
Born overseas,12.5339,3/1/1994
Born in Australia,11.0295,2/1/1994
Born overseas,12.8753,2/1/1994
Born in Australia,10.7524,1/1/1994
Born overseas,13.3031,1/1/1994
Born in Australia,10.1103,12/1/1993
Born overseas,12.4259,12/1/1993
Born in Australia,9.624,11/1/1993
Born overseas,12.4243,11/1/1993
Born in Australia,9.7039,10/1/1993
Born overseas,12.2229,10/1/1993
Born in Australia,9.9848,9/1/1993
Born overseas,12.7566,9/1/1993
Born in Australia,9.8661,8/1/1993
Born overseas,13.2022,8/1/1993
Born in Australia,9.6541,7/1/1993
Born overseas,12.5203,7/1/1993
Born in Australia,10.051,6/1/1993
Born overseas,12.4783,6/1/1993
Born in Australia,10.1701,5/1/1993
Born overseas,12.3263,5/1/1993
Born in Australia,10.3669,4/1/1993
Born overseas,12.1966,4/1/1993
Born in Australia,10.6964,3/1/1993
Born overseas,12.9788,3/1/1993
Born in Australia,11.5336,2/1/1993
Born overseas,13.8392,2/1/1993
Born in Australia,11.1026,1/1/1993
Born overseas,13.477,1/1/1993
Born in Australia,10.5069,12/1/1992
Born overseas,13.1991,12/1/1992
Born in Australia,9.682,11/1/1992
Born overseas,12.7816,11/1/1992
Born in Australia,9.7462,10/1/1992
Born overseas,12.4891,10/1/1992
Born in Australia,9.7777,9/1/1992
Born overseas,12.8348,9/1/1992
Born in Australia,9.7545,8/1/1992
Born overseas,12.3823,8/1/1992
Born in Australia,9.9223,7/1/1992
Born overseas,12.3684,7/1/1992
Born in Australia,9.8553,6/1/1992
Born overseas,12.2949,6/1/1992
Born in Australia,9.8204,5/1/1992
Born overseas,12.7149,5/1/1992
Born in Australia,9.8659,4/1/1992
Born overseas,12.2313,4/1/1992
Born in Australia,10.1698,3/1/1992
Born overseas,12.9804,3/1/1992
Born in Australia,10.6329,2/1/1992
Born overseas,13.8054,2/1/1992
Born in Australia,10.3894,1/1/1992
Born overseas,13.5008,1/1/1992
Born in Australia,9.7303,12/1/1991
Born overseas,12.7632,12/1/1991
Born in Australia,8.8313,11/1/1991
Born overseas,11.6709,11/1/1991
Born in Australia,8.5356,10/1/1991
Born overseas,11.6942,10/1/1991
Born in Australia,9.1452,9/1/1991
Born overseas,12.3076,9/1/1991
Born in Australia,8.6629,8/1/1991
Born overseas,11.7488,8/1/1991
Born in Australia,8.8189,7/1/1991
Born overseas,11.4949,7/1/1991
Born in Australia,8.4399,6/1/1991
Born overseas,10.5377,6/1/1991
Born in Australia,8.9961,5/1/1991
Born overseas,10.8124,5/1/1991
Born in Australia,9.3049,4/1/1991
Born overseas,11.6571,4/1/1991
Born in Australia,9.2027,3/1/1991
Born overseas,10.7195,3/1/1991
Born in Australia,9.1136,2/1/1991
Born overseas,10.5577,2/1/1991
Born in Australia,8.7893,1/1/1991
Born overseas,9.9324,1/1/1991
